typo_word,correct_word,typo_type
wzord,word,insert_char
teft,text,replace_char
texz,text,replace_char
tezt,text,replace_char
tex,text,delete_char
txt,text,delete_char
texzt,text,insert_char
zext,text,replace_char
etxt,text,swap_adjacent
inpud,input,replace_char
inupt,input,swap_adjacent
inpum,input,replace_char
vnput,input,replace_char
inpaut,input,insert_char
inpuh,input,replace_char
inpt,input,delete_char
inpdt,input,replace_char
boutput,output,insert_char
outdut,output,replace_char
otput,output,delete_char
outoput,output,insert_char
outpux,output,replace_char
outptu,output,swap_adjacent
outuput,output,insert_char
outut,output,delete_char
predcition,prediction,swap_adjacent
predition,prediction,delete_char
predictoion,prediction,insert_char
predidction,prediction,insert_char
predictiun,prediction,replace_char
mrediction,prediction,replace_char
predictcion,prediction,insert_char
predictionu,prediction,insert_char
ccuracy,accuracy,delete_char
acceracy,accuracy,replace_char
ayccuracy,accuracy,insert_char
acchuracy,accuracy,insert_char
aczuracy,accuracy,replace_char
accuacy,accuracy,delete_char
acrcuracy,accuracy,insert_char
acduracy,accuracy,replace_char
trining,training,delete_char
trainng,training,delete_char
trainaing,training,insert_char
traibning,training,insert_char
trainiqng,training,insert_char
taining,training,delete_char
traniing,training,swap_adjacent
toaining,training,replace_char
xtesting,testing,insert_char
tesuing,testing,replace_char
esting,testing,delete_char
tesitng,testing,swap_adjacent
testign,testing,swap_adjacent
tesing,testing,delete_char
etsting,testing,swap_adjacent
teting,testing,delete_char
feeature,feature,insert_char
featumre,feature,insert_char
feaqure,feature,replace_char
efature,feature,swap_adjacent
featur,feature,delete_char
featuroe,feature,insert_char
featurke,feature,insert_char
feautre,feature,swap_adjacent
atrget,target,swap_adjacent
tarket,target,replace_char
taeget,target,replace_char
arget,target,delete_char
taret,target,delete_char
targe,target,delete_char
trrget,target,replace_char
classifiction,classification,delete_char
classificadion,classification,replace_char
classfiication,classification,swap_adjacent
classificatoin,classification,swap_adjacent
clasification,classification,delete_char
classdfication,classification,replace_char
clvassification,classification,insert_char
classificatiodn,classification,insert_char
regressiln,regression,replace_char
regrssion,regression,delete_char
regresrsion,regression,insert_char
regressio,regression,delete_char
fegression,regression,replace_char
regrkssion,regression,replace_char
regressiovn,regression,insert_char
arndom,random,swap_adjacent
randoum,random,insert_char
andom,random,delete_char
ranndom,random,insert_char
radnom,random,swap_adjacent
rajndom,random,insert_char
randtm,random,replace_char
fyorest,forest,insert_char
fores,forest,delete_char
foest,forest,delete_char
forset,forest,swap_adjacent
forets,forest,swap_adjacent
fyrest,forest,replace_char
edcision,decision,swap_adjacent
decisioq,decision,replace_char
hecision,decision,replace_char
deciison,decision,swap_adjacent
ecision,decision,delete_char
decigsion,decision,insert_char
decijsion,decision,insert_char
dacision,decision,replace_char
trefe,tree,insert_char
trere,tree,insert_char
treer,tree,insert_char
mree,tree,replace_char
tre,tree,delete_char
trewe,tree,insert_char
reuslt,result,swap_adjacent
reslt,result,delete_char
reult,result,delete_char
resultt,result,insert_char
rsult,result,delete_char
resutl,result,swap_adjacent
csore,score,swap_adjacent
scroe,score,swap_adjacent
skore,score,replace_char
qscore,score,insert_char
scor,score,delete_char
sclore,score,insert_char
sdcore,score,insert_char
scgore,score,insert_char
cuystomer,customer,insert_char
cutomer,customer,delete_char
cusotmer,customer,swap_adjacent
custoemr,customer,swap_adjacent
custoeer,customer,replace_char
ucstomer,customer,swap_adjacent
custsmer,customer,replace_char
prduct,product,delete_char
proudct,product,swap_adjacent
roduct,product,delete_char
producj,product,replace_char
produt,product,delete_char
prodct,product,delete_char
serice,service,delete_char
servitce,service,insert_char
servcie,service,swap_adjacent
oservice,service,insert_char
servic,service,delete_char
sebrvice,service,insert_char
serviceo,service,insert_char
servilce,service,insert_char
supnort,support,replace_char
suppott,support,replace_char
suppor,support,delete_char
kupport,support,replace_char
supprt,support,delete_char
suppxort,support,insert_char
suppocrt,support,insert_char
suppojrt,support,insert_char
tciket,ticket,swap_adjacent
tiket,ticket,delete_char
tikcet,ticket,swap_adjacent
tickewt,ticket,insert_char
ticke,ticket,delete_char
tickte,ticket,swap_adjacent
licket,ticket,replace_char
tgcket,ticket,replace_char
problep,problem,replace_char
proeblem,problem,insert_char
pjroblem,problem,insert_char
probem,problem,delete_char
problm,problem,delete_char
problet,problem,replace_char
probleem,problem,insert_char
prwoblem,problem,insert_char
solutiobn,solution,insert_char
soultion,solution,swap_adjacent
solutiotn,solution,insert_char
solutioh,solution,replace_char
soluztion,solution,insert_char
solutino,solution,swap_adjacent
solutvion,solution,insert_char
soltuion,solution,swap_adjacent
questiqn,question,replace_char
qeustion,question,swap_adjacent
quiestion,question,insert_char
questio,question,delete_char
qwestion,question,replace_char
quesion,question,delete_char
qustion,question,delete_char
questioq,question,replace_char
answern,answer,insert_char
aswer,answer,delete_char
anwser,answer,swap_adjacent
anser,answer,delete_char
amswer,answer,replace_char
anwer,answer,delete_char
kanswer,answer,insert_char
interet,internet,delete_char
inbternet,internet,insert_char
internew,internet,replace_char
interneot,internet,insert_char
iternet,internet,delete_char
intenet,internet,delete_char
inrternet,internet,insert_char
niternet,internet,swap_adjacent
wjbsite,website,replace_char
ebsite,website,delete_char
websitue,website,insert_char
ewbsite,website,swap_adjacent
websit,website,delete_char
webstie,website,swap_adjacent
websie,website,delete_char
wejbsite,website,insert_char
igthub,github,swap_adjacent
gsthub,github,replace_char
gtihub,github,swap_adjacent
githb,github,delete_char
qithub,github,replace_char
gitub,github,delete_char
gihtub,github,swap_adjacent
lepository,repository,replace_char
repostory,repository,delete_char
repositoryu,repository,insert_char
repositor,repository,delete_char
rebository,repository,replace_char
repositoky,repository,replace_char
repositoryo,repository,insert_char
reopsitory,repository,swap_adjacent
wfolder,folder,insert_char
oflder,folder,swap_adjacent
fblder,folder,replace_char
kfolder,folder,insert_char
foldmr,folder,replace_char
fodler,folder,swap_adjacent
folde,folder,delete_char
follder,folder,insert_char
fie,file,delete_char
zile,file,replace_char
film,file,replace_char
flie,file,swap_adjacent
fple,file,replace_char
xile,file,replace_char
ifle,file,swap_adjacent
tbale,table,swap_adjacent
tadle,table,replace_char
tale,table,delete_char
taole,table,replace_char
talbe,table,swap_adjacent
atble,table,swap_adjacent
tabln,table,replace_char
pictuze,picture,replace_char
icture,picture,delete_char
pitcure,picture,swap_adjacent
epicture,picture,insert_char
ipcture,picture,swap_adjacent
phicture,picture,insert_char
pimture,picture,replace_char
pictre,picture,delete_char
windoow,window,insert_char
wiodow,window,replace_char
windw,window,delete_char
windlow,window,insert_char
widnow,window,swap_adjacent
wdndow,window,replace_char
windo,window,delete_char
winqdow,window,insert_char
termnial,terminal,swap_adjacent
termnal,terminal,delete_char
terminag,terminal,replace_char
teminal,terminal,delete_char
termina,terminal,delete_char
terminacl,terminal,insert_char
termiwal,terminal,replace_char
librry,library,delete_char
lifrary,library,replace_char
libraqry,library,insert_char
lgibrary,library,insert_char
libzrary,library,insert_char
ilbrary,library,swap_adjacent
librsry,library,replace_char
libzary,library,replace_char
pcackage,package,insert_char
pacwage,package,replace_char
packgae,package,swap_adjacent
pacakge,package,swap_adjacent
pckage,package,delete_char
packace,package,replace_char
pyckage,package,replace_char
importe,import,insert_char
impotr,import,swap_adjacent
mport,import,delete_char
imfport,import,insert_char
imwport,import,insert_char
imqport,import,insert_char
iumport,import,insert_char
iuport,import,replace_char
qexport,export,insert_char
exposrt,export,insert_char
evxport,export,insert_char
expobt,export,replace_char
xport,export,delete_char
expor,export,delete_char
exporg,export,replace_char
expotr,export,swap_adjacent
crete,create,delete_char
creatj,create,replace_char
cerate,create,swap_adjacent
craete,create,swap_adjacent
rceate,create,swap_adjacent
ceate,create,delete_char
cretae,create,swap_adjacent
detlete,delete,insert_char
dewlete,delete,insert_char
deletl,delete,replace_char
dleete,delete,swap_adjacent
delere,delete,replace_char
deete,delete,delete_char
deldete,delete,insert_char
delhte,delete,replace_char
bupdate,update,insert_char
updtte,update,replace_char
udpate,update,swap_adjacent
updatek,update,insert_char
uydate,update,replace_char
updqate,update,insert_char
updtae,update,swap_adjacent
mupdate,update,insert_char
saerch,search,swap_adjacent
searlch,search,insert_char
earch,search,delete_char
seatch,search,replace_char
serach,search,swap_adjacent
searcl,search,replace_char
prdeict,predict,swap_adjacent
preict,predict,delete_char
predct,predict,delete_char
predirct,predict,insert_char
mredict,predict,replace_char
predcit,predict,swap_adjacent
peredict,predict,insert_char
suggesk,suggest,replace_char
suggese,suggest,replace_char
suggesqt,suggest,insert_char
uggest,suggest,delete_char
sggest,suggest,delete_char
suggesp,suggest,replace_char
sgugest,suggest,swap_adjacent
suggetst,suggest,insert_char
rmplace,replace,replace_char
replkce,replace,replace_char
replaec,replace,swap_adjacent
repaace,replace,replace_char
revlace,replace,replace_char
repace,replace,delete_char
replacx,replace,replace_char
replce,replace,delete_char
reomve,remove,swap_adjacent
removbe,remove,insert_char
rmeove,remove,swap_adjacent
sremove,remove,insert_char
rmove,remove,delete_char
remve,remove,delete_char
remeve,remove,replace_char
isnert,insert,swap_adjacent
insetr,insert,swap_adjacent
nisert,insert,swap_adjacent
insegrt,insert,insert_char
inserp,insert,replace_char
inesrt,insert,swap_adjacent
insrert,insert,insert_char
inselt,insert,replace_char
traip,train,replace_char
tirain,train,insert_char
tjain,train,replace_char
twain,train,replace_char
trian,train,swap_adjacent
trdin,train,replace_char
trani,train,swap_adjacent
evjluate,evaluate,replace_char
evalate,evaluate,delete_char
evalute,evaluate,delete_char
evalutae,evaluate,swap_adjacent
evaluatg,evaluate,replace_char
evaluatei,evaluate,insert_char
evdluate,evaluate,replace_char
evabluate,evaluate,insert_char
sbave,save,insert_char
sav,save,delete_char
savd,save,replace_char
rsave,save,insert_char
savue,save,insert_char
svae,save,swap_adjacent
sakve,save,insert_char
yave,save,replace_char
lad,load,delete_char
olad,load,swap_adjacent
loa,load,delete_char
aoad,load,replace_char
koad,load,replace_char
loau,load,replace_char
pirnt,print,swap_adjacent
prnit,print,swap_adjacent
kprint,print,insert_char
printo,print,insert_char
paint,print,replace_char
prsnt,print,replace_char
ptrint,print,insert_char
pritn,print,swap_adjacent
misplay,display,replace_char
dsplay,display,delete_char
displayk,display,insert_char
idisplay,display,insert_char
dsiplay,display,swap_adjacent
dipslay,display,swap_adjacent
displhy,display,replace_char
hart,chart,delete_char
chrat,chart,swap_adjacent
chavrt,chart,insert_char
uhart,chart,replace_char
chtrt,chart,replace_char
cehart,chart,insert_char
cahrt,chart,swap_adjacent
grahp,graph,swap_adjacent
gvraph,graph,insert_char
grap,graph,delete_char
grpah,graph,swap_adjacent
raph,graph,delete_char
graprh,graph,insert_char
gkraph,graph,insert_char
lpot,plot,swap_adjacent
plotp,plot,insert_char
plo,plot,delete_char
plotn,plot,insert_char
plto,plot,swap_adjacent
mlot,plot,replace_char
histora,history,replace_char
hbistory,history,insert_char
hitsory,history,swap_adjacent
histry,history,delete_char
istory,history,delete_char
ihstory,history,swap_adjacent
hisfory,history,replace_char
historly,history,insert_char
futrue,future,swap_adjacent
futur,future,delete_char
futurle,future,insert_char
fture,future,delete_char
futuer,future,swap_adjacent
futurhe,future,insert_char
uture,future,delete_char
businesv,business,replace_char
busienss,business,swap_adjacent
bushiness,business,insert_char
buisness,business,swap_adjacent
busigness,business,insert_char
usiness,business,delete_char
busness,business,delete_char
mdedical,medical,insert_char
medcal,medical,delete_char
mdical,medical,delete_char
mdeical,medical,swap_adjacent
emedical,medical,insert_char
mxdical,medical,replace_char
medital,medical,replace_char
edujation,education,replace_char
educatiohn,education,insert_char
eductaion,education,swap_adjacent
rducation,education,replace_char
educatrion,education,insert_char
deucation,education,swap_adjacent
educatzon,education,replace_char
educatnon,education,replace_char
trmavel,travel,insert_char
travelr,travel,insert_char
tarvel,travel,swap_adjacent
trwavel,travel,insert_char
travelo,travel,insert_char
travl,travel,delete_char
traevl,travel,swap_adjacent
trahvel,travel,insert_char
shokping,shopping,replace_char
shoppin,shopping,delete_char
sropping,shopping,replace_char
ishopping,shopping,insert_char
shoppnig,shopping,swap_adjacent
sopping,shopping,delete_char
shoppingg,shopping,insert_char
sohpping,shopping,swap_adjacent
emeraency,emergency,replace_char
emexrgency,emergency,insert_char
emergeny,emergency,delete_char
emergencyw,emergency,insert_char
emergehncy,emergency,insert_char
emermency,emergency,replace_char
emergnecy,emergency,swap_adjacent
emerlency,emergency,replace_char
incmoe,income,swap_adjacent
incom,income,delete_char
inocme,income,swap_adjacent
inkcome,income,insert_char
nicome,income,swap_adjacent
incomee,income,insert_char
inome,income,delete_char
akge,age,insert_char
ages,age,insert_char
ager,age,insert_char
aye,age,replace_char
aeg,age,swap_adjacent
gae,age,swap_adjacent
ege,age,replace_char
amout,amount,delete_char
mount,amount,delete_char
aomunt,amount,swap_adjacent
wamount,amount,insert_char
gamount,amount,insert_char
amuont,amount,swap_adjacent
stauts,status,swap_adjacent
tatus,status,delete_char
tsatus,status,swap_adjacent
stats,status,delete_char
statjs,status,replace_char
sattus,status,swap_adjacent
purgpose,purpose,insert_char
purposl,purpose,replace_char
purposm,purpose,replace_char
pupose,purpose,delete_char
puropse,purpose,swap_adjacent
purjpose,purpose,insert_char
purpoe,purpose,delete_char
urpose,purpose,delete_char
metohd,method,swap_adjacent
methdo,method,swap_adjacent
emthod,method,swap_adjacent
metho,method,delete_char
pmethod,method,insert_char
mehtod,method,swap_adjacent
methd,method,delete_char
mthod,method,delete_char
categoriy,category,insert_char
ctegory,category,delete_char
fategory,category,replace_char
gategory,category,replace_char
categocry,category,insert_char
casegory,category,replace_char
categovry,category,insert_char
categoyy,category,replace_char
qcity,city,insert_char
dity,city,replace_char
icty,city,swap_adjacent
ciy,city,delete_char
ctiy,city,swap_adjacent
cirty,city,insert_char
coutnry,country,swap_adjacent
countrcy,country,insert_char
countrh,country,replace_char
ountry,country,delete_char
cmuntry,country,replace_char
countrky,country,insert_char
jcountry,country,insert_char
conutry,country,swap_adjacent
eddress,address,replace_char
adress,address,delete_char
adderss,address,swap_adjacent
dadress,address,swap_adjacent
ddress,address,delete_char
addrcss,address,replace_char
addresm,address,replace_char
streetc,street,insert_char
streqet,street,insert_char
streemt,street,insert_char
sitreet,street,insert_char
stpeet,street,replace_char
fstreet,street,insert_char
steret,street,swap_adjacent
amrket,market,swap_adjacent
mahket,market,replace_char
markte,market,swap_adjacent
mardket,market,insert_char
maarket,market,insert_char
makret,market,swap_adjacent
pirce,price,swap_adjacent
prtce,price,replace_char
prikce,price,insert_char
prise,price,replace_char
prmice,price,insert_char
prile,price,replace_char
pric,price,delete_char
quvality,quality,insert_char
qualiy,quality,delete_char
qualiyt,quality,swap_adjacent
qualityz,quality,insert_char
qualitw,quality,replace_char
qualit,quality,delete_char
qaulity,quality,swap_adjacent
riview,review,replace_char
revienw,review,insert_char
erview,review,swap_adjacent
reviwe,review,swap_adjacent
reiew,review,delete_char
rder,order,delete_char
orderv,order,insert_char
ouder,order,replace_char
orde,order,delete_char
oredr,order,swap_adjacent
roder,order,swap_adjacent
oqder,order,replace_char
deliverly,delivery,insert_char
delviery,delivery,swap_adjacent
delivaery,delivery,insert_char
edlivery,delivery,swap_adjacent
delivecy,delivery,replace_char
deivery,delivery,delete_char
delikery,delivery,replace_char
deliveyr,delivery,swap_adjacent
hello,hello,no_typo
world,world,no_typo
python,python,no_typo
machine,machine,no_typo
learning,learning,no_typo
model,model,no_typo
data,data,no_typo
dataset,dataset,no_typo
project,project,no_typo
student,student,no_typo
teacher,teacher,no_typo
school,school,no_typo
university,university,no_typo
computer,computer,no_typo
science,science,no_typo
message,message,no_typo
email,email,no_typo
phone,phone,no_typo
number,number,no_typo
friend,friend,no_typo
family,family,no_typo
house,house,no_typo
money,money,no_typo
credit,credit,no_typo
refund,refund,no_typo
payment,payment,no_typo
account,account,no_typo
password,password,no_typo
weather,weather,no_typo
music,music,no_typo
movie,movie,no_typo
book,book,no_typo
language,language,no_typo
english,english,no_typo
morning,morning,no_typo
evening,evening,no_typo
night,night,no_typo
today,today,no_typo
tomorrow,tomorrow,no_typo
yesterday,yesterday,no_typo
important,important,no_typo
simple,simple,no_typo
example,example,no_typo
correct,correct,no_typo
mistake,mistake,no_typo
error,error,no_typo
function,function,no_typo
variable,variable,no_typo
program,program,no_typo
algorithm,algorithm,no_typo
keyboard,keyboard,no_typo
typing,typing,no_typo
sentence,sentence,no_typo
word,word,no_typo
text,text,no_typo
input,input,no_typo
output,output,no_typo
prediction,prediction,no_typo
accuracy,accuracy,no_typo
training,training,no_typo
testing,testing,no_typo
feature,feature,no_typo
target,target,no_typo
classification,classification,no_typo
regression,regression,no_typo
random,random,no_typo
forest,forest,no_typo
decision,decision,no_typo
tree,tree,no_typo
result,result,no_typo
score,score,no_typo
customer,customer,no_typo
product,product,no_typo
service,service,no_typo
support,support,no_typo
ticket,ticket,no_typo
problem,problem,no_typo
solution,solution,no_typo
question,question,no_typo
answer,answer,no_typo
internet,internet,no_typo
website,website,no_typo
github,github,no_typo
repository,repository,no_typo
folder,folder,no_typo
file,file,no_typo
table,table,no_typo
picture,picture,no_typo
window,window,no_typo
terminal,terminal,no_typo
library,library,no_typo
package,package,no_typo
import,import,no_typo
export,export,no_typo
create,create,no_typo
delete,delete,no_typo
update,update,no_typo
search,search,no_typo
predict,predict,no_typo
suggest,suggest,no_typo
replace,replace,no_typo
remove,remove,no_typo
insert,insert,no_typo
train,train,no_typo
evaluate,evaluate,no_typo
save,save,no_typo
load,load,no_typo
print,print,no_typo
display,display,no_typo
chart,chart,no_typo
graph,graph,no_typo
plot,plot,no_typo
history,history,no_typo
future,future,no_typo
business,business,no_typo
medical,medical,no_typo
education,education,no_typo
travel,travel,no_typo
shopping,shopping,no_typo
emergency,emergency,no_typo
income,income,no_typo
age,age,no_typo
amount,amount,no_typo
status,status,no_typo
purpose,purpose,no_typo
method,method,no_typo
