transaction_id,customer_age,sender_country,recipient_country,risk_segment,account_age_days,account_balance,avg_transaction_amount,transaction_amount,transaction_type,device_type,previous_failed_attempts,transactions_last_24h,days_since_last_transaction,time_by_greenwich,is_fraud
17,69,Russia,Russia,low,2887,77812.8,1927.37,3260.28,bill_payment,mobile,0,2,38,2026-01-01 06:53:19,0
18,25,Germany,Russia,high,2756,7192.72,473.8,475.32,online_transfer,mobile,1,2,21,2026-01-01 07:04:56,0
19,22,Russia,Russia,medium,3410,78064.18,1164.28,1210.79,card_payment,pos_terminal,0,3,1,2026-01-01 04:55:43,0
20,53,Germany,Russia,low,3111,9583.39,1821.91,3890.18,crypto_transfer,desktop,2,4,32,2026-01-01 19:54:05,0
21,29,UAE,UAE,low,3261,9743.97,3992.52,16395.89,card_payment,mobile,0,5,32,2026-01-01 19:33:06,0
22,32,China,Russia,low,416,12749.5,828.34,538.08,card_payment,mobile,0,5,14,2026-01-01 19:07:47,0
23,22,Russia,UAE,medium,2905,9447.25,808.61,245.94,card_payment,desktop,1,8,14,2026-01-01 17:58:13,1
24,43,UAE,Russia,low,1574,12783.73,3933.95,6482.53,online_transfer,desktop,1,2,50,2026-01-01 01:12:51,0
25,57,Russia,Turkey,low,1591,44052.77,1275.18,3001.94,online_transfer,mobile,2,2,7,2026-01-01 07:18:07,0
26,41,Turkey,Kazakhstan,low,1386,24880.1,1042.35,2033.83,card_payment,desktop,0,4,32,2026-01-01 08:53:48,0
27,54,Russia,Unknown,low,2118,8653.84,756.49,616.94,bill_payment,mobile,0,0,59,2026-01-01 02:53:07,0
28,69,China,Russia,medium,3464,88494.99,857.08,2758.92,bill_payment,atm,0,7,7,2026-01-01 02:02:41,0
29,65,Russia,Russia,medium,1255,13744.17,1748.55,7760.29,card_payment,pos_terminal,1,5,9,2026-01-01 19:34:14,0
30,52,Russia,Russia,medium,723,15515.4,1199.32,392.41,online_transfer,mobile,0,2,26,2026-01-01 17:26:14,0
31,57,China,Kazakhstan,low,134,40534.03,2388.65,7673.3,bill_payment,desktop,1,4,34,2026-01-01 19:31:43,0
32,20,Germany,Russia,medium,3576,15943.15,2206.77,1896.7,card_payment,mobile,1,5,8,2026-01-01 03:15:31,0
33,50,Russia,Turkey,low,3280,27806.52,2474.27,1151.09,card_payment,mobile,0,2,53,2026-01-01 19:01:27,0
34,40,Kazakhstan,Russia,low,3580,8639.07,1271.51,16351.1,card_payment,mobile,0,6,54,2026-01-01 17:35:47,0
35,61,Turkey,Turkey,low,1895,29764.17,1286.18,471.4,cash_withdrawal,mobile,0,4,50,2026-01-01 07:12:54,0
36,30,Russia,Russia,medium,2841,47521.27,1131.16,3023.57,online_transfer,desktop,0,7,3,2026-01-01 09:32:03,0
37,43,Turkey,UAE,low,2801,20613.91,860.93,1153.17,cash_withdrawal,mobile,0,3,52,2026-01-01 12:29:11,0
38,72,Russia,Russia,low,1159,21839.2,3184.42,5553.63,online_transfer,desktop,0,0,21,2026-01-01 05:14:36,0
39,48,Turkey,Russia,medium,114,32819.69,909.78,878.77,card_payment,mobile,0,2,18,2026-01-01 01:45:06,0
40,18,Germany,Russia,medium,1460,22535.76,3333.62,13040.29,card_payment,mobile,1,2,25,2026-01-01 08:59:45,0
41,37,Russia,Russia,low,3630,5604.26,3268.57,40856.92,card_payment,mobile,0,6,12,2026-01-01 22:59:10,0
42,73,Russia,Russia,low,2949,39518.93,372.12,224.6,card_payment,desktop,0,1,41,2026-01-01 12:39:25,0
43,43,Russia,Kazakhstan,low,3063,17135.23,654.4,869.85,card_payment,mobile,0,4,34,2026-01-01 19:17:55,0
44,71,Russia,Russia,medium,335,7688.36,5307.32,26033.39,card_payment,pos_terminal,0,1,57,2026-01-01 08:21:40,0
45,71,Russia,UAE,low,3171,54868.94,205.98,111.16,cash_withdrawal,mobile,0,4,43,2026-01-01 12:01:17,0
46,21,Russia,Turkey,low,557,56751.02,192.16,126.58,card_payment,desktop,0,2,21,2026-01-01 06:25:29,0
47,31,Russia,Russia,medium,2172,58303.92,1996.88,1416.81,online_transfer,desktop,1,4,48,2026-01-01 10:39:09,0
48,30,Turkey,Russia,high,1951,183626.73,2900.4,2866.09,card_payment,mobile,0,4,28,2026-01-01 10:31:48,0
49,29,Kazakhstan,Russia,medium,3005,5205.29,753.32,1481.58,online_transfer,desktop,0,2,48,2026-01-01 18:32:28,0
50,47,UAE,Russia,low,1366,41163.11,587.46,2988.95,cash_withdrawal,desktop,0,3,30,2026-01-01 11:46:16,1
51,55,Kazakhstan,Turkey,low,1458,26595.1,4452.12,34400.87,card_payment,mobile,1,5,30,2026-01-01 09:34:39,0
52,61,Germany,Germany,low,1414,14022.65,1068.35,1275.65,card_payment,mobile,0,4,42,2026-01-01 20:27:38,0
53,37,Russia,Russia,low,435,18302.58,1289.04,6079.59,cash_withdrawal,mobile,0,2,4,2026-01-01 07:22:20,0
54,25,China,Germany,low,880,89003.32,782.94,150.04,online_transfer,mobile,0,2,22,2026-01-01 03:15:46,0
55,72,Russia,Russia,high,2336,20683.49,987.27,4019.18,card_payment,atm,0,1,42,2026-01-01 15:44:34,0
56,31,Russia,Russia,medium,1285,33508.85,845.62,97.43,cash_withdrawal,mobile,0,4,4,2026-01-01 06:48:27,0
57,19,Kazakhstan,Russia,low,2930,20617.46,2653.15,4229.41,card_payment,mobile,0,4,37,2026-01-01 03:42:26,0
58,43,Russia,Russia,low,2794,15115.28,973.77,1409.72,card_payment,mobile,2,2,9,2026-01-01 11:47:29,0
59,65,Russia,Turkey,high,3503,23982.59,2452.77,8626.87,card_payment,mobile,0,4,6,2026-01-01 05:38:14,0
60,74,Russia,Russia,low,2747,44145.71,1002.85,460.27,online_transfer,mobile,0,4,11,2026-01-01 22:30:58,0
61,42,Kazakhstan,Kazakhstan,low,2123,59576.59,10510.54,14002.32,cash_withdrawal,atm,0,3,40,2026-01-01 07:57:14,0
62,70,Russia,Kazakhstan,low,1842,12194.77,1148.17,478.0,cash_withdrawal,atm,0,3,18,2026-01-01 19:58:46,0
63,22,Russia,Russia,high,337,80986.08,3360.88,1847.15,bill_payment,mobile,1,2,43,2026-01-01 18:34:48,0
64,66,Kazakhstan,Russia,low,2313,22578.4,868.83,2519.65,card_payment,desktop,0,1,48,2026-01-01 09:17:57,0
65,32,Russia,Russia,medium,2701,4917.0,1684.04,301.21,bill_payment,desktop,1,2,9,2026-01-01 09:31:02,0
66,59,Russia,Russia,high,608,17419.12,305.86,315.59,online_transfer,mobile,0,3,5,2026-01-01 10:33:38,0
67,18,Russia,Germany,low,1246,39898.57,1167.89,1247.58,card_payment,desktop,0,3,58,2026-01-01 05:59:50,0
68,70,Russia,Turkey,low,2912,15614.01,1493.1,816.83,bill_payment,desktop,0,3,56,2026-01-01 15:03:28,0
69,58,Russia,Turkey,low,1473,37096.6,5184.1,46463.55,online_transfer,mobile,1,2,15,2026-01-01 05:27:57,0
70,43,Germany,Turkey,low,2040,58365.73,1899.26,12401.16,online_transfer,pos_terminal,0,1,47,2026-01-01 23:23:45,0
71,25,Russia,Kazakhstan,low,1826,24904.14,2180.16,2815.14,card_payment,pos_terminal,0,3,17,2026-01-01 02:51:19,0
72,64,Turkey,Unknown,low,3604,32503.34,552.43,975.72,cash_withdrawal,atm,1,4,58,2026-01-01 23:10:35,0
73,66,Germany,Germany,medium,1159,9576.03,1848.31,4796.53,card_payment,desktop,0,2,54,2026-01-01 21:57:15,0
74,31,Russia,Russia,low,1264,59930.4,1957.73,3456.93,card_payment,desktop,0,2,19,2026-01-01 10:51:09,0
75,68,Russia,Russia,medium,1689,22831.67,1242.8,1836.11,bill_payment,atm,0,2,1,2026-01-01 05:29:40,0
76,59,Turkey,UAE,low,898,68326.26,3834.96,3854.67,card_payment,mobile,0,6,23,2026-01-01 07:08:05,0
77,72,Kazakhstan,Unknown,low,2378,9736.54,972.93,4868.58,card_payment,mobile,3,4,25,2026-01-01 03:16:26,1
78,44,Russia,Russia,low,2090,22888.41,1951.66,1709.57,bill_payment,mobile,0,2,41,2026-01-01 07:55:28,0
79,31,UAE,Kazakhstan,high,2085,34833.45,1173.43,862.08,card_payment,pos_terminal,0,2,2,2026-01-01 05:30:10,0
80,42,Russia,China,low,3117,17089.16,1022.06,364.29,card_payment,mobile,0,2,41,2026-01-01 01:18:29,0
81,54,Russia,Russia,low,3396,17624.7,3125.88,3341.98,online_transfer,desktop,0,4,50,2026-01-01 14:01:28,0
82,54,Russia,Russia,medium,517,87935.09,538.08,278.71,card_payment,mobile,0,3,5,2026-01-01 09:32:39,0
83,62,China,Russia,low,1876,25022.04,2160.83,2621.44,crypto_transfer,mobile,1,2,26,2026-01-01 08:47:06,0
84,18,Turkey,Russia,low,232,59265.27,2008.71,73758.13,card_payment,pos_terminal,0,3,7,2026-01-01 01:49:49,0
85,27,Russia,Unknown,low,3047,12564.83,1978.31,2828.01,cash_withdrawal,desktop,0,3,49,2026-01-01 19:04:39,0
86,29,Turkey,Germany,medium,1741,13425.48,1176.66,4967.65,card_payment,desktop,0,1,21,2026-01-01 22:09:23,1
87,73,Russia,Russia,low,522,39639.47,1480.77,2787.27,card_payment,desktop,0,2,34,2026-01-01 02:11:29,0
88,46,UAE,Unknown,low,2800,20010.8,527.05,529.09,card_payment,atm,1,1,50,2026-01-01 03:24:02,0
89,66,Russia,Russia,low,3067,30079.74,319.06,332.85,card_payment,atm,0,5,20,2026-01-01 01:18:12,0
90,26,Russia,Unknown,medium,2810,168054.71,248.99,223.13,online_transfer,mobile,1,2,19,2026-01-01 06:56:17,0
91,58,Germany,Russia,medium,3386,10169.5,2467.48,1710.18,online_transfer,mobile,0,2,43,2026-01-01 03:28:20,0
92,34,Kazakhstan,Russia,low,236,20346.36,1668.85,1878.89,cash_withdrawal,mobile,0,6,31,2026-01-01 21:51:08,0
93,43,China,Russia,high,3110,41994.98,9671.65,10756.39,card_payment,pos_terminal,0,1,59,2026-01-01 01:26:57,0
94,19,China,UAE,medium,1536,19784.01,1615.88,6150.54,card_payment,mobile,0,5,39,2026-01-01 22:59:36,0
95,29,Russia,Kazakhstan,low,3246,15282.08,547.39,585.13,card_payment,desktop,0,5,38,2026-01-01 19:14:57,0
96,70,Kazakhstan,Unknown,high,627,7083.44,2211.53,2069.79,card_payment,mobile,0,1,56,2026-01-01 12:15:32,0
97,66,China,Unknown,low,533,13080.85,470.85,1801.84,card_payment,desktop,1,5,46,2026-01-01 06:45:03,0
98,71,China,Germany,high,2477,77375.47,1028.47,5152.61,card_payment,pos_terminal,0,3,31,2026-01-01 22:29:45,0
99,45,Russia,Russia,low,1668,63918.4,2378.46,7414.47,card_payment,pos_terminal,0,2,8,2026-01-01 04:54:13,0
100,49,Russia,Germany,low,1059,55129.32,1298.25,443.63,cash_withdrawal,atm,0,2,27,2026-01-01 11:05:26,0
101,29,Russia,UAE,low,3064,10237.15,1100.13,1068.31,online_transfer,atm,0,2,43,2026-01-01 17:26:24,0
102,73,Russia,China,medium,227,16170.05,2858.93,740.09,card_payment,mobile,0,0,27,2026-01-01 11:38:09,0
103,23,Turkey,Russia,medium,2787,18185.3,688.5,2058.98,card_payment,desktop,0,3,56,2026-01-01 00:34:34,0
104,44,Russia,Russia,low,2913,33512.65,435.12,336.47,online_transfer,mobile,0,3,27,2026-01-01 16:29:31,0
105,27,Russia,Germany,high,988,44385.37,1901.96,1296.72,bill_payment,mobile,0,2,14,2026-01-01 20:55:35,0
106,62,Russia,Kazakhstan,high,1269,21400.72,3122.73,3205.65,card_payment,mobile,0,2,57,2026-01-01 16:14:11,0
107,20,Russia,Turkey,high,1603,125127.52,885.46,226.65,cash_withdrawal,mobile,0,2,47,2026-01-01 19:59:22,0
108,72,Russia,Kazakhstan,low,1659,34467.37,862.9,389.28,online_transfer,atm,0,8,46,2026-01-01 19:12:24,0
109,63,Russia,China,low,2406,5046.98,2630.02,6361.12,online_transfer,desktop,0,8,54,2026-01-01 22:07:58,0
110,53,Germany,Russia,medium,3152,12969.39,1380.39,3223.04,bill_payment,mobile,0,4,37,2026-01-01 18:05:32,0
111,45,Russia,Russia,low,1965,27472.03,2813.26,12300.86,bill_payment,mobile,1,3,43,2026-01-01 00:28:12,0
112,18,Russia,Russia,low,251,36972.78,653.16,5412.55,card_payment,mobile,0,3,32,2026-01-01 10:36:22,0
113,62,Russia,Turkey,high,1269,21400.72,3122.73,4381.86,cash_withdrawal,atm,0,5,14,2026-01-01 16:31:55,0
114,42,Kazakhstan,Russia,low,2876,65877.87,521.61,605.26,online_transfer,mobile,0,5,27,2026-01-01 03:47:13,0
115,59,Turkey,Russia,medium,2523,23885.25,2896.38,2361.53,card_payment,mobile,1,4,32,2026-01-01 05:57:59,0
116,38,Turkey,Kazakhstan,low,134,10566.95,550.23,1762.98,online_transfer,mobile,1,4,49,2026-01-01 10:28:08,0
117,64,Turkey,Russia,low,751,19649.24,1285.39,889.32,bill_payment,pos_terminal,0,4,33,2026-01-01 17:53:23,0
118,53,UAE,Kazakhstan,low,1159,12124.76,4253.09,7925.3,online_transfer,atm,0,4,45,2026-01-01 12:38:53,0
119,54,Russia,Kazakhstan,low,1542,43492.53,732.95,2674.49,bill_payment,desktop,1,2,45,2026-01-01 16:18:05,0
120,54,Russia,Russia,low,1519,30338.38,664.53,3016.65,online_transfer,pos_terminal,1,2,7,2026-01-01 18:55:52,0
121,70,Germany,China,low,3337,172297.6,1925.14,2325.11,online_transfer,atm,0,7,38,2026-01-01 08:19:44,0
122,52,Russia,Kazakhstan,low,299,6725.62,676.22,475.37,online_transfer,mobile,0,4,9,2026-01-01 04:21:15,0
123,71,Russia,Kazakhstan,medium,2948,22199.1,2610.31,6543.77,online_transfer,mobile,2,2,5,2026-01-01 02:17:25,0
124,19,Russia,China,medium,1558,25760.54,429.41,992.29,card_payment,mobile,0,6,13,2026-01-01 23:42:22,0
125,48,Germany,China,medium,1260,22057.0,1177.49,4171.03,online_transfer,mobile,0,1,36,2026-01-01 22:11:03,0
126,41,UAE,Germany,medium,2417,22481.51,1907.86,736.16,cash_withdrawal,mobile,3,2,41,2026-01-01 14:25:49,0
127,19,Russia,Turkey,high,337,54029.7,666.43,1754.29,cash_withdrawal,atm,0,3,10,2026-01-01 04:02:30,1
128,66,Russia,Turkey,low,2680,43868.33,752.03,3946.83,card_payment,pos_terminal,0,4,43,2026-01-01 10:32:44,0
129,73,Germany,Russia,medium,3342,79538.82,302.85,3577.1,card_payment,pos_terminal,1,4,49,2026-01-01 18:57:38,0
130,51,Russia,Russia,high,3546,106794.05,4543.27,515.03,online_transfer,desktop,0,1,5,2026-01-01 08:00:12,0
131,18,China,UAE,low,767,70225.47,429.3,353.12,online_transfer,mobile,2,3,41,2026-01-01 11:48:40,0
132,42,Kazakhstan,Germany,low,2876,65877.87,521.61,1115.68,card_payment,mobile,0,1,58,2026-01-01 10:28:56,0
133,22,UAE,Russia,low,221,46839.52,1129.1,882.38,online_transfer,mobile,0,1,36,2026-01-01 20:19:31,0
134,53,Russia,China,medium,2255,88943.88,1603.85,2160.27,bill_payment,pos_terminal,1,5,38,2026-01-01 20:04:59,0
135,69,Turkey,UAE,low,2695,22236.86,874.85,4608.8,card_payment,pos_terminal,0,4,25,2026-01-01 05:14:49,0
136,49,Russia,China,low,1059,55129.32,1298.25,26813.39,bill_payment,mobile,0,5,45,2026-01-01 11:36:24,0
137,69,UAE,Germany,low,3432,95093.93,10454.46,14231.5,cash_withdrawal,mobile,0,2,41,2026-01-01 12:43:32,0
138,19,Russia,Russia,high,337,54029.7,666.43,127.43,card_payment,desktop,0,4,19,2026-01-01 04:04:19,0
139,72,Russia,Russia,low,1289,42438.83,779.68,3429.97,cash_withdrawal,mobile,1,2,48,2026-01-01 08:31:26,0
140,51,Russia,Kazakhstan,low,916,86255.69,1675.98,798.55,online_transfer,mobile,1,1,17,2026-01-01 02:54:47,0
141,41,Turkey,Germany,low,1386,24880.1,1042.35,223.14,bill_payment,mobile,0,2,14,2026-01-01 05:27:00,0
142,23,Russia,China,low,2041,31768.11,1272.83,787.07,card_payment,mobile,0,3,51,2026-01-01 16:03:49,0
143,68,Russia,UAE,medium,2254,28343.11,302.84,386.1,card_payment,mobile,0,2,13,2026-01-01 12:35:28,0
144,40,Russia,Russia,low,727,34301.89,399.24,380.24,card_payment,atm,0,6,15,2026-01-01 18:51:58,0
145,50,UAE,Russia,low,2683,66566.4,2009.3,750.58,card_payment,mobile,0,2,55,2026-01-01 17:33:31,0
146,60,Germany,Kazakhstan,low,971,60412.6,1799.39,475.49,card_payment,pos_terminal,0,2,30,2026-01-01 19:47:35,0
147,32,Kazakhstan,Russia,low,795,31811.19,1313.23,2711.23,card_payment,mobile,0,4,57,2026-01-01 05:08:01,0
148,60,Turkey,Germany,low,2124,37524.82,862.9,549.97,card_payment,mobile,0,2,37,2026-01-01 10:07:11,0
149,37,Russia,UAE,low,1220,38295.46,646.69,281.51,online_transfer,atm,0,4,10,2026-01-01 13:06:21,0
150,19,Germany,Unknown,medium,314,17582.31,1454.35,21599.05,card_payment,atm,0,5,42,2026-01-01 04:44:24,0
151,69,Russia,Russia,low,3520,14723.81,673.42,421.79,online_transfer,mobile,1,6,46,2026-01-01 22:56:18,0
152,32,Russia,Unknown,low,3377,18853.24,536.23,132.77,card_payment,pos_terminal,0,2,30,2026-01-01 20:20:55,0
153,22,Russia,Russia,low,2490,49348.44,3630.91,14359.85,card_payment,desktop,0,3,41,2026-01-01 02:55:44,0
154,41,Russia,Russia,high,3003,26549.85,5221.14,8042.23,cash_withdrawal,mobile,1,1,42,2026-01-01 01:24:07,0
155,74,Russia,Kazakhstan,low,430,8385.18,4897.24,2658.32,card_payment,mobile,0,2,25,2026-01-01 02:06:31,0
156,25,Russia,China,high,1829,79552.92,1224.41,14358.42,card_payment,mobile,2,3,43,2026-01-01 20:29:10,0
157,28,Russia,Unknown,medium,3268,25842.21,1126.49,2425.28,card_payment,atm,0,4,58,2026-01-01 09:52:00,0
158,26,China,Turkey,medium,268,47187.81,395.21,380.39,bill_payment,pos_terminal,0,2,21,2026-01-01 16:13:37,0
159,61,Germany,Russia,medium,2871,135973.42,822.09,2958.38,cash_withdrawal,atm,0,8,24,2026-01-01 21:07:45,0
160,55,Russia,Russia,low,2329,23907.9,970.78,486.23,card_payment,mobile,0,7,10,2026-01-01 20:55:55,0
161,41,Russia,Turkey,medium,3247,53556.78,1765.53,290.78,online_transfer,mobile,0,4,4,2026-01-01 14:02:34,0
162,63,Kazakhstan,UAE,low,841,26536.67,1195.87,641.15,card_payment,desktop,0,1,5,2026-01-01 15:50:19,0
163,64,Russia,Russia,low,646,48958.37,2126.69,10385.49,card_payment,desktop,0,2,19,2026-01-01 00:56:37,0
164,32,Germany,UAE,low,988,81420.84,1408.82,528.01,card_payment,atm,0,3,6,2026-01-01 04:58:19,0
165,48,China,Russia,low,3490,35574.62,753.5,1528.41,cash_withdrawal,mobile,2,5,5,2026-01-01 15:37:18,0
166,71,Russia,UAE,low,783,30553.17,1065.66,252.49,card_payment,pos_terminal,1,2,56,2026-01-01 09:27:30,0
167,52,Russia,Russia,low,3046,63845.12,550.46,596.8,online_transfer,mobile,0,4,42,2026-01-01 11:46:09,0
168,39,UAE,Russia,high,2148,174560.18,447.99,12298.57,bill_payment,mobile,0,2,20,2026-01-01 17:07:19,1
169,22,Turkey,UAE,medium,3002,110270.07,4711.05,1535.87,card_payment,mobile,0,6,27,2026-01-01 02:53:49,0
170,67,Kazakhstan,Kazakhstan,medium,1571,30071.09,312.15,441.51,bill_payment,mobile,0,4,29,2026-01-01 03:18:25,0
171,41,UAE,Russia,low,171,37577.94,6387.19,9664.83,bill_payment,atm,0,3,9,2026-01-01 11:40:40,0
172,25,UAE,Turkey,low,178,52195.53,1022.65,1278.3,online_transfer,mobile,1,2,47,2026-01-01 19:05:52,0
173,52,China,Germany,low,972,10377.0,1462.82,709.61,online_transfer,mobile,1,2,15,2026-01-01 04:04:19,0
174,55,Russia,Turkey,medium,1226,41521.73,2048.99,543.11,cash_withdrawal,desktop,0,0,26,2026-01-01 11:41:10,0
175,73,Russia,Russia,medium,3514,60455.56,1647.24,3868.95,bill_payment,mobile,1,2,50,2026-01-01 00:11:55,0
176,21,Turkey,Russia,low,1350,55316.27,9672.4,9834.28,online_transfer,atm,1,1,41,2026-01-01 04:41:38,0
177,55,Russia,Russia,medium,1226,41521.73,2048.99,2491.06,card_payment,mobile,0,5,49,2026-01-01 16:33:42,0
178,50,UAE,UAE,low,1647,21257.23,678.17,453.24,cash_withdrawal,desktop,0,2,27,2026-01-01 21:58:43,0
179,25,Russia,Russia,medium,3137,15353.68,2131.44,4199.55,bill_payment,pos_terminal,1,3,58,2026-01-01 11:41:00,0
180,28,Russia,Russia,medium,643,27127.07,864.25,253.2,card_payment,mobile,0,1,21,2026-01-01 23:53:47,0
181,74,Russia,Turkey,low,430,8385.18,4897.24,5580.21,online_transfer,mobile,0,6,9,2026-01-01 12:26:44,0
182,61,Turkey,Kazakhstan,low,359,30389.45,1818.9,2810.02,online_transfer,pos_terminal,0,2,45,2026-01-01 16:39:44,0
183,50,Turkey,Russia,low,822,13489.96,572.28,1028.33,card_payment,mobile,1,5,15,2026-01-01 10:24:11,0
184,74,China,Kazakhstan,medium,3359,32297.67,3543.37,4174.46,card_payment,atm,0,4,4,2026-01-01 04:02:36,0
185,36,Germany,Russia,low,3471,15771.84,3170.02,10673.14,card_payment,mobile,1,3,23,2026-01-01 13:43:25,0
186,34,Russia,Germany,low,1076,60555.95,445.37,98.26,online_transfer,atm,1,4,27,2026-01-01 16:48:30,0
187,27,Russia,Russia,medium,88,12346.2,1151.65,1080.4,online_transfer,mobile,0,1,21,2026-01-01 18:06:17,0
188,37,Russia,Russia,low,3047,72654.24,821.57,973.84,card_payment,atm,1,5,24,2026-01-01 15:21:20,0
189,56,Kazakhstan,Unknown,low,455,118300.26,743.21,1074.58,card_payment,desktop,0,4,20,2026-01-01 14:01:28,0
190,32,Russia,China,low,3321,12774.11,1009.38,1918.06,card_payment,mobile,0,5,59,2026-01-01 03:57:27,0
191,29,Russia,Kazakhstan,medium,2089,15086.38,1181.18,654.32,cash_withdrawal,mobile,0,2,59,2026-01-01 10:28:04,0
192,57,Russia,Turkey,low,2434,51656.85,4127.97,21156.92,card_payment,pos_terminal,0,2,34,2026-01-01 23:52:15,0
193,67,UAE,Russia,low,3191,5914.78,1177.53,108.93,card_payment,desktop,0,4,46,2026-01-01 06:13:57,0
194,48,Russia,Kazakhstan,medium,1841,13419.41,1208.34,387.83,bill_payment,mobile,0,4,54,2026-01-01 01:53:58,0
195,30,Russia,Russia,low,2217,67319.98,1475.36,1268.53,online_transfer,atm,0,5,5,2026-01-01 08:57:04,0
196,66,China,Russia,high,3115,32555.95,1816.89,307.81,online_transfer,mobile,0,3,9,2026-01-01 12:59:14,1
197,29,Russia,Turkey,low,2897,29920.65,581.93,838.13,online_transfer,mobile,0,4,30,2026-01-01 23:50:41,0
198,30,Turkey,Russia,medium,2914,106812.53,1357.93,1506.3,card_payment,mobile,1,2,24,2026-01-01 23:50:58,0
199,18,Kazakhstan,Kazakhstan,low,2555,123678.3,994.23,757.57,card_payment,mobile,0,2,36,2026-01-01 15:57:49,0
200,36,Russia,Russia,medium,3388,29787.09,1844.66,3581.07,online_transfer,pos_terminal,0,2,16,2026-01-01 12:50:06,0
201,47,Kazakhstan,Russia,low,2075,34666.12,901.86,4504.91,online_transfer,atm,0,5,59,2026-01-01 20:18:40,1
202,68,Russia,Germany,medium,2235,51455.46,2431.14,2257.14,card_payment,pos_terminal,1,3,5,2026-01-01 09:45:18,0
203,34,Russia,Kazakhstan,low,3109,39560.17,1007.39,492.41,online_transfer,desktop,0,3,30,2026-01-01 14:21:57,0
204,23,Kazakhstan,Russia,medium,2718,22832.22,1436.38,99.37,card_payment,desktop,0,2,18,2026-01-01 14:23:29,0
205,47,UAE,UAE,low,1366,41163.11,587.46,1365.7,card_payment,desktop,1,5,55,2026-01-01 18:00:51,0
206,45,Russia,Russia,low,1965,27472.03,2813.26,3197.38,cash_withdrawal,mobile,0,2,18,2026-01-01 08:14:46,0
207,73,Kazakhstan,UAE,low,693,18199.15,959.28,2084.25,card_payment,desktop,0,2,18,2026-01-01 03:48:18,0
208,32,UAE,Russia,low,2642,32229.35,502.97,349.19,bill_payment,mobile,1,0,45,2026-01-01 06:53:52,0
209,31,Kazakhstan,Russia,low,2517,60776.48,945.42,3310.5,bill_payment,mobile,0,1,41,2026-01-01 19:48:30,0
210,22,Russia,Russia,low,1242,82249.61,785.49,314.33,card_payment,mobile,1,0,23,2026-01-01 02:28:28,0
211,40,Turkey,Russia,low,2173,32890.6,175.97,53.67,bill_payment,mobile,0,2,20,2026-01-01 18:24:55,0
212,37,Russia,Russia,low,643,67403.03,2971.15,14567.38,bill_payment,desktop,0,3,31,2026-01-01 23:02:46,0
213,49,Russia,UAE,low,1004,26794.5,757.63,4071.47,crypto_transfer,mobile,0,4,24,2026-01-01 17:16:18,0
214,32,Russia,Unknown,low,2914,75978.48,501.01,420.17,online_transfer,atm,0,5,53,2026-01-01 02:32:54,0
215,37,Russia,Russia,low,1840,13022.52,3393.84,1841.97,bill_payment,atm,0,5,30,2026-01-01 15:45:19,0
216,68,Russia,Turkey,low,2589,8593.75,8663.15,20153.63,online_transfer,mobile,0,4,41,2026-01-01 06:02:11,0
217,41,Russia,Russia,low,3055,64789.43,2099.23,1357.82,bill_payment,desktop,1,2,11,2026-01-01 23:36:35,0
